pais,año,apertura_comercial,crecimiento_pib,desempleo,inflacion,pib_per_capita
BRA,2018,28.876203376153,1.78366676137003,12.329,3.66485028376728,8722.33529970988
BRA,2019,28.8902578697354,1.22077782271943,11.936,3.73297621216893,8771.43950372603
BRA,2020,32.3020785443492,-3.27675879612903,13.697,3.21176803803376,8435.01046209185
BRA,2021,37.6563307592575,4.7626043797061,13.158,8.30165975585673,8799.22844579944
BRA,2022,38.8160659764321,3.01669435408112,9.231,9.28010608956872,9032.08377657776
BRA,2023,33.6662298301284,3.24165532813583,7.947,4.59356282283203,9288.02594608687
BRA,2024,35.5845239385389,3.41931516597739,6.801,4.36746407652336,9566.74408628371
BRA,2025,,,5.97,,
CHL,2018,58.177050633437,3.99002947789977,7.623,2.43488981353057,13763.0068844795
CHL,2019,57.6117545680829,0.634367533828438,7.493,2.55754475703326,13630.5935435578
CHL,2020,58.1828635629748,-6.14347479224092,10.934,3.04549084804326,12679.024004022
CHL,2021,64.8774063237834,11.3149204879049,9.281,4.52456838259143,14051.4713630677
CHL,2022,75.2016177425303,2.15399356192458,8.249,11.6438667110559,14283.1489501524
CHL,2023,60.7247236874408,0.521367977246825,9.013,7.58168251407962,14280.3475638842
CHL,2024,63.859857248066,2.64431154871538,8.718,4.29763891572524,14579.4001071307
CHL,2025,,,8.974,,
COL,2018,36.5347527968973,2.56432428277704,9.36,3.24056932930569,6353.5464285392
COL,2019,37.558533980839,3.18685539245533,10.28,3.52301932741446,6439.96359812647
COL,2020,34.0555709680101,-7.18591413760859,15.983,2.52663500084706,5891.95523215403
COL,2021,40.0591463936128,10.8011981904878,13.898,3.49505757399448,6457.16921807086
COL,2022,48.2826551123359,7.32827729427979,10.541,10.1772313546166,6856.72590505374
COL,2023,40.3881324933957,0.712380031974334,9.591,11.7359044948689,6828.59753791113
COL,2024,37.0254687077888,1.5983315366523,9.619,6.60908593728228,6863.59563194342
COL,2025,,,8.29,,
URY,2018,47.7913104806475,0.164777608940113,8.336,7.60653360377047,17608.9441195037
URY,2019,49.7448341159636,0.928351141267498,8.836,7.88198870879619,17758.4384372986
URY,2020,47.7318733182088,-7.35732706484723,10.413,9.75640636078194,16443.3635000843
URY,2021,58.3150410230338,5.84427312558179,9.328,7.74791402314762,17416.0052208869
URY,2022,61.0307951043821,4.48622703072073,7.877,9.10437983075437,18228.3558443761
URY,2023,52.910987066463,0.742128785315927,8.355,5.86910359896119,18378.9833563662
URY,2024,52.4649167856379,3.10825478066172,8.209,4.84914366613156,18958.6033293537
URY,2025,,,7.516,,
